day_type,WATERFRONT,CAPE TOWN,TOLLGATE STOP,M3 FREEWAY,GROOTE SCHUUR HOSP,MOWBRAY,FREEWAY,CLAREMONT,RETREAT,LAVENDER HILL,SEAWINDS,STEENBERG,OCEAN VIEW,MURDOCH VALLEY
Saturdays,,13:20,,,,,,,14:20,,,,,
Saturdays,,13:40,,,,,,,14:30,,,,,
Saturdays,,09:00,,,,,,,10:00,,,,,
Saturdays,,16:30,,,,16:55,,,17:30,,,,,
Saturdays,,18:30,,,,,,,19:30,,,,,
Saturdays,,18:00,,,,,,,18:50,via,via,19:35,,
Saturdays,,18:00,,,,18:25,,,19:00,,,,,
Saturdays,,17:30,,,,,,,18:20,via,via,19:05,,
Saturdays,,17:30,,,,17:55,,,18:30,,,,,
Saturdays,,17:10,,,,,,,18:00,via,via,18:30,,
Saturdays,,17:00,,,,17:25,,,18:00,,,,,
Saturdays,,16:30,,,,,,,17:20,via,via,18:05,,
Saturdays,21:30,21:40,,,,21:50,,,22:10,via,via,22:40,,
Saturdays,,19:00,,,,,,,19:50,,,,,
Saturdays,,16:00,,,,,,,16:50,via,via,17:35,,
Saturdays,,15:40,,,,,,16:15,,,,,,
Saturdays,,15:30,,,,,,,16:20,via,via,17:05,,
Saturdays,,15:30,,,,,,,16:30,,,,,
Saturdays,,15:00,,via,,,,,,,,,17:00,
Saturdays,,15:00,,,,,,,15:50,via,via,16:35,,
Saturdays,,15:00,,,,15:25,,,16:00,,,,,
Saturdays,,14:30,,,,,,,15:20,via,via,15:45,,
Saturdays,,14:20,,,,14:45,,,15:30,,,,,
Saturdays,,14:00,,,14:15,14:20,,,15:00,,,,,
Saturdays,,16:00,,,,,,,17:00,,,,,
Saturdays,,19:30,,,19:45,19:50,,,20:30,,,,,
Sundays,,12:30,,,12:45,,,,13:30,,,,,
Sundays,,06:00,,,,06:25,,,07:00,,,,,
Sundays,,06:30,,,06:45,,,,07:30,,,,,
Sundays,,07:00,,,07:15,07:20,,,08:00,,,,,
Sundays,,13:00,,,,13:25,,,14:00,,,,,
Sundays,,13:30,,,,,,,14:30,,,,,
Sundays,,14:00,,,14:15,14:20,,,15:00,,,,,
Sundays,,14:30,,,,,,,15:30,,,,,
Sundays,,15:00,,,15:15,15:20,,,16:00,,,,,
Sundays,,11:30,,,11:45,,,,12:30,,,,,
Sundays,,15:30,,,,,,,16:30,,,,,
Sundays,,16:00,,,,,,,17:00,,,,,
Sundays,,16:30,,,,,,,17:30,via,via,17:50,,
Sundays,,17:00,,,,17:25,,,18:00,,,,,
Sundays,,17:20,,,,,,,18:10,via,via,18:30,,
Sundays,,18:00,,,18:15,18:20,,,19:00,,,,,
Sundays,,19:00,,,,,,,20:00,,,,,
Sundays,21:30,21:40,,,,21:50,,,22:10,via,via,22:40,,
Sundays,,11:20,,,,,,,12:10,via,via,12:55,,
Sundays,,11:00,,,,11:25,,,12:00,,,,,
Sundays,,10:30,,,10:45,,,,11:30,,,,,
Sundays,,09:30,,,09:45,,,,10:30,,,,,
Sundays,,09:00,,,,09:25,,,10:00,,,,,
Sundays,,08:30,,,08:45,,,,09:30,,,,,
Sundays,,08:00,,,,,,,08:50,via,via,09:30,,
Sundays,,08:00,,,,08:25,,,09:00,,,,,
Sundays,,07:30,,,07:45,,,,08:30,,,,,
Sundays,,12:00,,,,12:25,,,13:00,,,,,
Sundays,,15:15,,,,,,,16:15,,,,,
