day_type,WYNBERG,PLUMSTEAD,OTTERY HYPERMARKET,SITE C,HARARE,ENKANINI,VILLAGE 3,MAKHAZA
MondaysToFridays,07:35,,,08:10,,,08:15,09:30
MondaysToFridays,15:15,,,15:50,,,15:55,16:45
MondaysToFridays,08:00,,,08:35,,,08:40,09:20
MondaysToFridays,08:20,,,08:55,09:20,,,
MondaysToFridays,14:00,,,14:35,15:20,,,
MondaysToFridays,09:00,,,09:35,,,09:40,10:05
MondaysToFridays,13:40,,,14:15,15:00,,,
Mondays_to_Thursdays,,,17:10,17:35,,,17:40,18:40
Mondays_to_Thursdays,12:00,,,12:35,13:25,,,
Mondays_to_Thursdays,11:20,,,11:55,,,12:00,12:35
Mondays_to_Thursdays,11:00,,,11:35,12:05,,,
Mondays_to_Thursdays,15:30,,,16:05,,,16:10,16:30
Mondays_to_Thursdays,17:25,,,18:00,,,18:05,18:55
Mondays_to_Thursdays,17:40,,,18:15,18:50,,,
Mondays_to_Thursdays,17:30,,,18:05,18:50,,,
Mondays_to_Thursdays,10:00,,,10:35,,,10:40,11:15
Mondays_to_Thursdays,12:00,,,12:35,,,12:40,13:15
Mondays_to_Thursdays,18:00,,,18:35,19:05,,,
Mondays_to_Thursdays,18:00,,,18:35,,,18:40,19:10
Mondays_to_Thursdays,18:15,,,18:50,,,18:55,19:00
Mondays_to_Thursdays,18:15,,,18:50,18:55,,,
Mondays_to_Thursdays,10:40,,,11:15,,,11:20,11:30
Mondays_to_Thursdays,12:30,,,13:05,,,13:10,13:50
Mondays_to_Thursdays,,,17:15,17:50,18:15,,,
Mondays_to_Thursdays,,17:05,,17:55,,,18:05,19:10
Mondays_to_Thursdays,15:40,,,16:15,16:45,,,
Mondays_to_Thursdays,15:40,,,16:15,,,16:20,17:05
Mondays_to_Thursdays,,17:05,,via,18:20,,via,
Mondays_to_Thursdays,15:00,,,15:35,15:45,,,
Mondays_to_Thursdays,16:05,,,16:35,,,16:40,17:30
Mondays_to_Thursdays,14:45,,,15:20,16:00,,,
Mondays_to_Thursdays,14:30,,,15:05,,,15:10,16:00
Mondays_to_Thursdays,,14:20,,15:30,,,16:00,16:00
Mondays_to_Thursdays,,16:20,,via,17:50,,via,
Mondays_to_Thursdays,16:20,,,16:55,,,17:00,17:30
Mondays_to_Thursdays,15:05,,,15:40,,,15:45,16:10
Mondays_to_Thursdays,,14:00,,14:50,,,15:30,16:00
Mondays_to_Thursdays,,16:25,,via,18:00,,via,
Mondays_to_Thursdays,13:00,,,13:35,,,13:40,14:15
Mondays_to_Thursdays,17:00,,,17:35,18:10,,,
Mondays_to_Thursdays,17:00,,,17:35,,,17:40,18:20
Mondays_to_Thursdays,13:00,,,13:50,14:30,,,
Mondays_to_Thursdays,13:20,,,13:55,14:20,,,
Mondays_to_Thursdays,14:00,,,14:35,,,14:40,14:45
Mondays_to_Thursdays,16:30,,,17:20,,,,17:40
Mondays_to_Thursdays,13:20,,,13:55,,,14:00,14:35
PublicHolidays,10:00,,,10:35,,,10:40,11:00
PublicHolidays,07:30,,,08:05,08:30,,,
PublicHolidays,08:00,,,08:35,,,08:40,09:00
PublicHolidays,08:30,,,09:05,09:30,,,
PublicHolidays,07:00,,,07:35,,,07:40,08:00
PublicHolidays,09:00,,,09:35,,,09:40,10:00
PublicHolidays,09:30,,,10:05,10:30,,,
PublicHolidays,10:30,,,11:05,11:30,,,
PublicHolidays,15:00,,,15:35,,,15:40,16:00
PublicHolidays,13:30,,,14:05,14:30,,,
PublicHolidays,14:00,,,14:35,,,14:40,15:00
PublicHolidays,14:30,,,15:05,15:30,,,
PublicHolidays,15:30,,,16:05,16:30,,,
PublicHolidays,16:00,,,16:35,,,16:40,17:00
PublicHolidays,17:00,,,17:35,,,17:40,18:00
PublicHolidays,17:30,,,18:05,18:20,,,
PublicHolidays,12:00,,,12:35,,,12:40,13:00
PublicHolidays,06:30,,,07:05,07:30,,,
PublicHolidays,18:30,,,19:05,19:30,,,
PublicHolidays,18:00,,,18:35,,,18:40,19:00
Saturdays,13:45,,,14:20,15:00,,,
Saturdays,12:15,,,12:50,13:30,,,
Saturdays,12:00,,,12:35,,,12:40,13:20
Saturdays,11:45,,,12:20,13:00,,,
Saturdays,11:00,,,11:35,,,11:40,12:15
Saturdays,11:00,,,11:35,,,12:30,
Saturdays,10:30,,,11:05,,,11:10,11:45
Saturdays,10:15,,,10:50,11:30,,,
Saturdays,10:00,,,10:35,,,10:40,11:15
Saturdays,09:45,,,10:20,11:00,,,
Saturdays,09:00,,,09:35,,,09:40,10:15
Saturdays,08:45,,,09:20,10:00,,,
Saturdays,08:30,,,09:05,,,09:10,09:45
Saturdays,08:00,,,08:35,,,08:40,09:15
Saturdays,07:30,,,08:05,,,08:10,08:45
Saturdays,07:15,,,07:50,08:30,,,
Saturdays,06:15,,,06:50,,,06:55,07:30
Saturdays,13:00,,,13:35,,,13:40,14:30
Saturdays,13:30,,,13:55,,,14:00,14:45
Saturdays,12:30,,,13:05,,,13:10,13:45
Saturdays,17:00,,,17:35,,,17:40,18:15
Saturdays,14:00,,,14:35,,,14:40,15:45
Saturdays,14:15,,,14:50,15:30,,,
Saturdays,14:45,,,15:20,16:00,,,
Saturdays,,15:00,,15:50,,,16:00,16:30
Saturdays,15:00,,,15:35,,,15:40,16:15
Saturdays,15:30,,,16:05,,,16:10,16:45
Saturdays,16:15,,,16:50,17:30,,,
Saturdays,16:30,,,17:05,,,17:10,17:45
Saturdays,17:15,,,17:50,18:30,,,
Saturdays,17:40,,,18:15,,,18:20,19:00
Saturdays,17:55,,,18:30,19:00,,,
Saturdays,18:30,,,19:05,,,19:10,19:45
Saturdays,19:15,,,19:50,20:30,,,
Sundays,06:45,,,07:20,,,07:25,07:45
Sundays,06:40,,,07:15,,,07:20,08:45
Sundays,08:45,,,09:20,,,09:25,09:45
Sundays,07:15,,,07:50,08:30,,,
Sundays,06:15,,,06:50,,,06:55,07:00
Sundays,08:15,,,08:50,09:15,,,
Sundays,18:45,,,19:20,,,19:25,19:45
Sundays,17:45,,,18:20,,,18:25,18:50
Sundays,09:15,,,09:50,10:05,,,
Sundays,09:45,,,10:20,,,10:25,10:45
Sundays,10:15,,,10:50,11:15,,,
Sundays,10:45,,,11:20,,,11:25,11:30
Sundays,10:45,,,11:20,12:15,,,
Sundays,11:45,,,12:20,,,12:25,12:35
Sundays,12:15,,,12:50,13:15,,,
Sundays,12:45,,,13:20,,,13:25,13:35
Sundays,07:45,,,08:20,,,08:25,08:45
Sundays,13:45,,,14:20,,,14:25,14:50
Sundays,14:15,,,14:50,15:15,,,
Sundays,14:45,,,15:20,,,15:25,15:45
Sundays,15:15,,,15:50,16:15,,,
Sundays,15:45,,,16:20,,,16:25,17:05
Sundays,16:15,,,16:50,17:30,,,
Sundays,16:45,,,17:20,,,17:25,17:45
Sundays,17:15,,,17:50,18:15,,,
Sundays,18:15,,,18:50,19:20,,,
Sundays,13:15,,,13:50,14:15,,,
