day_type,KUILS RIVER TERM,KUILS RIVER,PEPCOR FACTORY,SAXENBURG PARK,MACADAMS FACTORY,BLACKHEATH,MALIBU,MELTON ROSE STN,EERSTE RIVER STN,ELECTRIC CITY,BEACON VALLEY,ROCKLANDS,LOST CITY,LENTEGEUR HOSP,TOWN CENTRE,TAFELSIG LOST CITY
Mondays_to_Thursdays,15:00,15:10,,via,via,via,,,,,via,,,,17:00,
Mondays_to_Thursdays,,,,,,,,14:15,,14:45,,,,,15:20,
Mondays_to_Thursdays,,,,,,,,15:45,,16:15,,,,,17:00,
PublicHolidays,,,,,,,,13:00,,via,,,,,13:55,
PublicHolidays,,,,,,,,06:00,,,,,,06:40,07:00,
PublicHolidays,,,,,,,,10:00,,,,,,,10:50,
PublicHolidays,,,,,,,,09:00,,via,,,,,10:00,
PublicHolidays,,,,,,,,08:00,,,,,,,09:00,
PublicHolidays,,,,,,,,07:00,,via,,,,,08:00,
PublicHolidays,,,,,,,,17:00,,via,,,,,18:00,
PublicHolidays,,,,,,,,16:10,,,,,,,17:10,
Saturdays,,,,,,,,10:30,,11:00,,,,,11:30,
Saturdays,,,,,,,,06:30,,07:00,,,,,07:30,
Saturdays,,,,,,,,07:30,,08:00,,,,,08:30,
Saturdays,,,,,,,,08:00,,08:30,,,,,09:20,
Saturdays,,,,,,,,08:30,,09:00,,,,,09:30,
Saturdays,,,,,,,,09:00,,09:30,,,,,10:00,
Saturdays,,,,,,,,10:00,,10:30,,,,,11:30,
Saturdays,,,,,,,,18:00,,,,,,18:40,19:00,
Saturdays,,,,,,,,17:00,,,,,,,17:45,
Saturdays,,,,,,,,14:00,,14:30,,,,,15:00,
Saturdays,,,,,,,,15:30,,16:00,,,,,16:30,
Saturdays,,,,,,,,15:00,,,,,,,16:00,
Saturdays,,,,,,,,11:00,,11:30,,,,,12:30,
Saturdays,,,,,,,,12:00,,12:30,,,,,13:00,
Saturdays,,,,,,,,12:30,,13:00,,,,,14:00,
Saturdays,,,,,,,,14:30,,15:00,,,,,15:30,
Saturdays,,,,,,,,13:00,,,,,,,14:00,
Saturdays,,13:10,,via,,via,,,,,,,,,14:30,
Saturdays,,,,,,,,09:30,,10:00,,,,,10:30,
Saturdays,,,,,,,,16:00,,16:30,,,,,17:00,
Sundays,,,,,,,,18:00,,,,,,18:40,19:00,
Sundays,,,,,,,,16:00,,,,,,16:40,17:15,
Sundays,,,,,,,,12:00,,,,,,12:40,13:00,
Sundays,,,,,,,,11:00,,,,,,11:40,12:00,
Sundays,,,,,,,,10:00,,,,,,10:40,11:00,
Sundays,,,,,,,,09:30,,via,,,,,10:30,
Sundays,,,,,,,,09:00,,09:30,,,,,10:00,
Sundays,,,,,,,,08:00,,08:30,,,,,09:00,
Sundays,,,,,,,,07:00,,via,,,,,08:00,
Sundays,,,,,,,,06:30,,via,,,,,07:30,
Sundays,,,,,,,,14:30,,via,,,,,15:30,
Sundays,,,,,,,,08:30,,via,,,,,09:30,
